web-scraper-order,web-scraper-start-url,containers,containers-href,Nombre_pieces,Nombre_salles_bain,Superficie,Adresse
"1752437988-1","https://sn.coinafrique.com/categorie/appartements","favorite_border20heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-point-e-5410319","4","2","","Point E, Dakar, Sénégal"
"1752437991-2","https://sn.coinafrique.com/categorie/appartements","favorite_border20heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-point-e-5410321","5","4","","Point E, Dakar, Sénégal"
"1752437993-3","https://sn.coinafrique.com/categorie/appartements","favorite_border19heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-mamelles-5399615","2","1","70","Mamelles, Dakar, Sénégal"
"1752437996-4","https://sn.coinafrique.com/categorie/appartements","favorite_border19heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-virage-5389146","4","3","134","Yoff, Dakar, Sénégal"
"1752437998-5","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-jean-mermoz-5415828","4","450 m2","","Ouakam, Dakar, Sénégal"
"1752438002-6","https://sn.coinafrique.com/categorie/appartements","favorite_border18heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-maristes-5412095","4","3","160 m2","Hann Bel-Air, Dakar, Sénégal"
"1752438006-7","https://sn.coinafrique.com/categorie/appartements","favorite_border18heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-fann-mermoz-5412098","5","250 m2","","Fann, Dakar, Sénégal"
"1752438009-8","https://sn.coinafrique.com/categorie/appartements","favorite_border18heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-mamelles-5395688","7","2","270 m2","Mamelles, Dakar, Sénégal"
"1752438012-9","https://sn.coinafrique.com/categorie/appartements","favorite_border17heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-cite-mourtala-2-vdn-5387395","4","3","135","Sacré-Coeur, Dakar, Sénégal"
"1752438015-10","https://sn.coinafrique.com/categorie/appartements","favorite_border11heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-fann-5410667","3","2","12","Fann, Dakar, Sénégal"
"1752438018-11","https://sn.coinafrique.com/categorie/appartements","favorite_border11heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-virage-5403857","4","3","134","Yoff, Dakar, Sénégal"
"1752438021-12","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-meuble-2-pieces-ouest-foire-5412363","2","4026","","Ouest Foire, Dakar, Sénégal"
"1752438024-13","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-ngor-almadies-5416222","","","","Almadies, Dakar, Sénégal"
"1752438028-14","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-meuble-almadies-5416227","","","","Almadies, Dakar, Sénégal"
"1752438031-15","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-studio-a-ouest-foire-5416240","","","","Ouest Foire, Dakar, Sénégal"
"1752438035-16","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-almadies-5379922","4","3","150 m2","Almadies, Dakar, Sénégal"
"1752438038-17","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-mamelles-5416255","","","","Mamelles, Dakar, Sénégal"
"1752438041-18","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-liberte-6-extension-5416258","","","","Sicap Liberté, Dakar, Sénégal"
"1752438046-19","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4pieces-corniche-mamelles-5403899","4","4","197","Mamelles, Dakar, Sénégal"
"1752438049-20","https://sn.coinafrique.com/categorie/appartements","favorite_border10heures","https://sn.coinafrique.com/annonce/appartements/location-studio-a-keur-massar-jaxaay-5416286","","","","Keur Massar, Sénégal"
"1752438053-21","https://sn.coinafrique.com/categorie/appartements","favorite_border9heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mbao-5391361","3","1","150","Mbao, Dakar, Sénégal"
"1752438056-22","https://sn.coinafrique.com/categorie/appartements","favorite_border9heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-keur-massar-5391368","3","1","180","Keur Massar, Sénégal"
"1752438058-23","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/vente-appartement-penthouse-8-pieces-corniche-mamelles-5404072","8","742","","Mamelles, Dakar, Sénégal"
"1752438062-24","https://sn.coinafrique.com/categorie/appartements","favorite_border9heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-fann-5404070","3","3","120","Fann, Dakar, Sénégal"
"1752438066-25","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fenetre-mermoz-5414550","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438070-26","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mariste-5412654","4","5","110","Mariste, Dakar, Sénégal"
"1752438073-27","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-mermoz-5391547","4","2","133","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438076-28","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cote-aeroport-yoff-5416577","4","2","95","Yoff, Dakar, Sénégal"
"1752438080-29","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/vente-studio-2-pieces-virage-5389621","2","2","90","Yoff, Dakar, Sénégal"
"1752438085-30","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-mamelles-5416585","2","1","70","Mamelles, Dakar, Sénégal"
"1752438091-31","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-almadies-5381999","4","3","","Almadies, Dakar, Sénégal"
"1752438097-32","https://sn.coinafrique.com/categorie/appartements","favorite_border8heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-zac-mbao-5406426","","","","Medina, Dakar, Sénégal"
"1752438102-33","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-onomo-5385197","4","3","135","Yoff, Dakar, Sénégal"
"1752438107-34","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-keur-massar-jaxaay-5406453","","","","Keur Massar, Sénégal"
"1752438112-35","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-djily-mbaye-5416579","3","","","Diamalaye 1, Dakar, Sénégal"
"1752438117-36","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-cite-biagui-5385211","2","2","130","Yoff, Dakar, Sénégal"
"1752438122-37","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-studio-meuble-a-yoff-onomo-5406461","","","","Yoff, Dakar, Sénégal"
"1752438127-38","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-5416610","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438132-39","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-dakar-plateau-5406472","3","2","","Dakar Plateau, Dakar, Sénégal"
"1752438137-40","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cite-biagui-5381915","3","2","132","Yoff, Dakar, Sénégal"
"1752438143-41","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-a-virage-5381904","3","3","132","Yoff, Dakar, Sénégal"
"1752438147-42","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-aux-almadies-5406478","5","4","","Almadies, Dakar, Sénégal"
"1752438152-43","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-a-virage-5381925","4","3","140","Yoff, Dakar, Sénégal"
"1752438165-44","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-f4-a-yoff-5396136","250","","","Yoff, Dakar, Sénégal"
"1752438171-45","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/vente-appartements-5-pieces-a-almadies-5374110","5","5","310","Almadies, Dakar, Sénégal"
"1752438177-46","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/vente-appartements-mermoz-sacre-coeur-5416672","174","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438183-47","https://sn.coinafrique.com/categorie/appartements","favorite_border7heures","https://sn.coinafrique.com/annonce/appartements/vente-appartements-f4-5396151","","","","Point E, Dakar, Sénégal"
"1752438188-48","https://sn.coinafrique.com/categorie/appartements","favorite_border6heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-grand-standing-aux-almadies-5394764","4","5","230 m2","Almadies, Dakar, Sénégal"
"1752438193-49","https://sn.coinafrique.com/categorie/appartements","favorite_border","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-fann-mermoz-5400458","5","","","Fann, Dakar, Sénégal"
"1752438200-50","https://sn.coinafrique.com/categorie/appartements","favorite_border6heures","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-5e-etage-almadies-5378687","4","4","145","Almadies, Dakar, Sénégal"
