web-scraper-order,web-scraper-start-url,containers,containers-href,Superficie,Prix,Adresse,Lien_image,Lien_image-href
"1752435975-1","https://sn.coinafrique.com/categorie/terrains","18 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-200-m-diamniadio-5410909","200","18 000 000 CFA","Diamniadio, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-200-m-diamniadio-5410909#"
"1752435980-2","https://sn.coinafrique.com/categorie/terrains","3 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-5411822","150 m2","3 000 000 CFA","Keur Massar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-5411822#"
"1752435984-3","https://sn.coinafrique.com/categorie/terrains","900 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-1800u-ngor-5369235","1800","900 000 CFA","Ngor, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-1800u-ngor-5369235#"
"1752435989-4","https://sn.coinafrique.com/categorie/terrains","45 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-5412980","150","45 000 000 CFA","Parcelle Assainies, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-5412980#"
"1752435995-5","https://sn.coinafrique.com/categorie/terrains","7 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300m-thies-5413043","300","7 000 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300m-thies-5413043#"
"1752436000-6","https://sn.coinafrique.com/categorie/terrains","60 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-1-ha-thiokhol-5413139","10000","60 000 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-1-ha-thiokhol-5413139#"
"1752436005-7","https://sn.coinafrique.com/categorie/terrains","25 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-325-m-saly-5413381","325","25 000 000 CFA","Saly, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-325-m-saly-5413381#"
"1752436010-8","https://sn.coinafrique.com/categorie/terrains","Prix sur demande","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-mbao-5413540","150","Prix sur demande","Mbao, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-mbao-5413540#"
"1752436014-9","https://sn.coinafrique.com/categorie/terrains","130 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-damel-5413729","150","130 000 000 CFA","Damel, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-damel-5413729#"
"1752436020-10","https://sn.coinafrique.com/categorie/terrains","3 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-diass-5413757","225 m2","3 500 000 CFA","Ndiass, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-diass-5413757#"
"1752436025-11","https://sn.coinafrique.com/categorie/terrains","12 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-residentiel-5413763","300 m2","12 500 000 CFA","Saly, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-residentiel-5413763#"
"1752436029-12","https://sn.coinafrique.com/categorie/terrains","6 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5413956","150 m2","6 000 000 CFA","Rufisque, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5413956#"
"1752436034-13","https://sn.coinafrique.com/categorie/terrains","4 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-senegal-5414313","300 m2","4 500 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-senegal-5414313#"
"1752436038-14","https://sn.coinafrique.com/categorie/terrains","6 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486","150 m2","6 500 000 CFA","Rufisque, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150m-senegal-5414486#"
