web-scraper-order,web-scraper-start-url,containers_link,containers_link-href,Nombre_de_pieces,Nombre_salles_bain,Superficie,Adresse
"1752397159-1","https://sn.coinafrique.com/categorie/villas","95 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-guediawaye-5410868","12","12","180 m2","Almadies, Dakar, Sénégal"
"1752397169-2","https://sn.coinafrique.com/categorie/villas","260 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-ngaparou-5368434","6","5","955","Ngaparou, Sénégal"
"1752397176-3","https://sn.coinafrique.com/categorie/villas","200 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-mbour-5411908","3","2","300 m2","Dakar, Sénégal"
"1752397185-4","https://sn.coinafrique.com/categorie/villas","3 000 000CFA","https://sn.coinafrique.com/annonce/villas/location-villas-8-pieces-a-almadies-5366416","8","5","400","Almadies, Dakar, Sénégal"
"1752397198-5","https://sn.coinafrique.com/categorie/villas","100 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-toubab-dialao-5413392","8","5","280","Toubab Dialao, Sénégal"
"1752397213-6","https://sn.coinafrique.com/categorie/villas","1 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-mermoz-sacre-coeur-5371272","5","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752397231-7","https://sn.coinafrique.com/categorie/villas","1 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-6-chambres-mariste-5371333","7","5","","Mariste, Dakar, Sénégal"
"1752397245-8","https://sn.coinafrique.com/categorie/villas","48 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-diamniadio-5374403","4","3","150","Diamniadio, Sénégal"
"1752397259-9","https://sn.coinafrique.com/categorie/villas","184 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-1400m-a-ngaparou-5371386","8","5","1400 m2","Dakar Plateau, Dakar, Sénégal"
"1752397280-10","https://sn.coinafrique.com/categorie/villas","250 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sipres-mbao-5415112","5","3","150 m2","Mbao, Dakar, Sénégal"
"1752397289-11","https://sn.coinafrique.com/categorie/villas","100 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-asecna-5415148","11","6","150 m2","Dakar, Sénégal"
"1752397299-12","https://sn.coinafrique.com/categorie/villas","900 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-3pieces-cite-tobago-5381262","4","4","150 m2","Sipres, Dakar, Sénégal"
